Node          U1          U2          U3
1 0.000602307 -0.00239218 -0.000237378
2 0.0025764 -0.0165641 -4.91822e-05
3 0.0025764 -0.0165641 4.91822e-05
4 0.000602307 -0.00239218 0.000237378
5 -0.00426667 -0.0173789 -0.000135778
6 -0.00426667 -0.0173789 0.000135778
7 -0.00209001 -0.00260493 -0.000284189
8 -0.00209001 -0.00260493 0.000284189
9 3.29089e-24 -7.87717e-25 -9.22792e-25
10 0.00107504 -0.002207 -4.37985e-05
11 0.00107504 -0.002207 4.37985e-05
12 3.29089e-24 -7.87717e-25 9.22792e-25
13 -3.24314e-24 -7.61592e-25 -9.21568e-25
14 -3.24314e-24 -7.61592e-25 9.21568e-25
15 0.00104935 -0.00332505 -0.000322185
16 0.00136911 -0.00434988 -0.000292188
17 0.00165187 -0.00554549 -0.000269345
18 0.00190538 -0.0068704 -0.000232993
19 0.00212374 -0.00832069 -0.000196417
20 0.00230544 -0.00987413 -0.000157366
21 0.00244401 -0.011512 -0.000118565
22 0.00253269 -0.0132023 -8.28562e-05
23 0.00257053 -0.0148997 -5.79648e-05
24 0.0025781 -0.0165754 -4.41753e-05
25 0.00257363 -0.0165852 -3.5624e-05
26 0.00256674 -0.0165922 -1.92175e-05
27 0.0025641 -0.0165938 -1.75177e-16
28 0.00256674 -0.0165922 1.92175e-05
29 0.00257363 -0.0165852 3.5624e-05
30 0.0025781 -0.0165754 4.41753e-05
31 0.00257053 -0.0148997 5.79648e-05
32 0.00253269 -0.0132023 8.28562e-05
33 0.00244401 -0.011512 0.000118565
34 0.00230544 -0.00987413 0.000157366
35 0.00212374 -0.00832069 0.000196417
36 0.00190538 -0.0068704 0.000232993
37 0.00165187 -0.00554549 0.000269345
38 0.00136911 -0.00434988 0.000292188
39 0.00104935 -0.00332505 0.000322185
40 0.000560115 -0.0024406 0.000169564
41 0.00054787 -0.00249128 9.98196e-05
42 0.000544289 -0.00251904 4.63725e-05
43 0.00054347 -0.00252814 -4.74025e-17
44 0.000544289 -0.00251904 -4.63725e-05
