Node          U1          U2          U3
1 0.000655366 -0.00278258 -0.000102891
2 0.00295681 -0.0189897 -1.67425e-05
3 0.00295681 -0.0189897 1.67425e-05
4 0.000655366 -0.00278258 0.000102891
5 -0.00488456 -0.0198824 -0.000112862
6 -0.00488456 -0.0198824 0.000112862
7 -0.00241966 -0.00305944 -0.000139838
8 -0.00241966 -0.00305944 0.000139838
9 3.40298e-24 -4.81725e-25 -4.51641e-25
10 0.001245 -0.0024968 -2.6827e-05
11 0.001245 -0.0024968 2.6827e-05
12 3.40298e-24 -4.81725e-25 4.51641e-25
13 -3.32884e-24 -4.52335e-25 -4.53928e-25
14 -3.32884e-24 -4.52335e-25 4.53928e-25
15 0.00121632 -0.00388966 -0.000154163
16 0.00158593 -0.00508198 -0.000142158
17 0.00191338 -0.00644548 -0.000129745
18 0.00220258 -0.00795715 -0.000111788
19 0.00245105 -0.00960676 -9.2973e-05
20 0.0026561 -0.0113732 -7.29588e-05
21 0.00281173 -0.0132342 -5.28838e-05
22 0.00290967 -0.0151555 -3.43758e-05
23 0.00295037 -0.0170877 -2.09658e-05
24 0.00295682 -0.0189918 -1.40229e-05
25 0.00295276 -0.0189906 -1.07626e-05
26 0.00294746 -0.0189885 -5.41641e-06
27 0.00294534 -0.018987 -5.35575e-17
28 0.00294746 -0.0189885 5.41641e-06
29 0.00295276 -0.0189906 1.07626e-05
30 0.00295682 -0.0189918 1.40229e-05
31 0.00295037 -0.0170877 2.09658e-05
32 0.00290967 -0.0151555 3.43758e-05
33 0.00281173 -0.0132342 5.28838e-05
34 0.0026561 -0.0113732 7.29588e-05
35 0.00245105 -0.00960676 9.2973e-05
36 0.00220258 -0.00795715 0.000111788
37 0.00191338 -0.00644548 0.000129745
38 0.00158593 -0.00508198 0.000142158
39 0.00121632 -0.00388966 0.000154163
40 0.000638414 -0.00280351 8.0832e-05
41 0.000633011 -0.00282781 4.74089e-05
42 0.000631834 -0.0028411 2.17626e-05
43 0.000631613 -0.00284544 5.81631e-18
44 0.000631834 -0.0028411 -2.17626e-05
45 0.000633011 -0.00282781 -4.74089e-05
46 0.000638414 -0.00280351 -8.0832e-05
47 -0.00474126 -0.017112 -7.23315e-05
48 -0.00457066 -0.0151546 2.16786e-05
49 -0.00444633 -0.013216 4.71457e-05
50 -0.00428528 -0.0113663 7.28959e-05
51 -0.00408305 -0.00960334 9.21237e-05
52 -0.00383407 -0.00795434 0.000109019
53 -0.0035356 -0.00644547 0.000123186
54 -0.00319042 -0.00510847 0.000133541
55 -0.00280933 -0.00397411 0.000139542
56 -0.00483602 -0.0194491 6.88274e-05
57 -0.00479921 -0.0194538 1.39036e-05
58 -0.00479309 -0.0194398 5.89472e-06
59 -0.0047896 -0.0194394 2.70153e-16
60 -0.00479309 -0.0194398 -5.89472e-06
61 -0.00479921 -0.0194538 -1.39036e-05
62 -0.00483602 -0.0194491 -6.88274e-05
63 -0.00280933 -0.00397411 -0.000139542
64 -0.00319042 -0.00510847 -0.000133541
65 -0.0035356 -0.00644547 -0.000123186
66 -0.00383407 -0.00795434 -0.000109019
67 -0.00408305 -0.00960334 -9.21237e-05
68 -0.00428528 -0.0113663 -7.28959e-05
69 -0.00444633 -0.013216 -4.71457e-05
70 -0.00457066 -0.0151546 -2.16786e-05
71 -0.00474126 -0.017112 7.23315e-05
72 -0.00242272 -0.00310979 0.000103378
73 -0.00242895 -0.0031472 6.48251e-05
