Node          U1          U2          U3
1 0.000590262 -0.00234841 -0.000300512
2 0.0024896 -0.0161228 -5.87222e-05
3 0.0024896 -0.0161228 5.87222e-05
4 0.000590262 -0.00234841 0.000300512
5 -0.00410736 -0.0168069 -0.000154474
6 -0.00410736 -0.0168069 0.000154474
7 -0.00204744 -0.00254103 -0.00031518
8 -0.00204744 -0.00254103 0.00031518
9 2.81448e-24 -8.79974e-25 -1.05791e-24
10 0.00106766 -0.00218479 -4.82629e-05
11 0.00106766 -0.00218479 4.82629e-05
12 2.81448e-24 -8.79974e-25 1.05791e-24
13 -2.77388e-24 -8.59061e-25 -1.04988e-24
14 -2.77388e-24 -8.59061e-25 1.04988e-24
15 0.000989871 -0.00321576 -0.000365123
16 0.00130721 -0.00422695 -0.00033582
17 0.001584 -0.00538888 -0.000303071
18 0.00182943 -0.00668241 -0.000264572
19 0.00204128 -0.00809477 -0.000222623
20 0.00221694 -0.00960823 -0.000178228
21 0.00235226 -0.0112022 -0.000133448
22 0.00244124 -0.0128479 -9.34582e-05
23 0.00248132 -0.0145021 -6.74337e-05
24 0.00249035 -0.016135 -5.39397e-05
25 0.00248419 -0.0161494 -4.22727e-05
26 0.00247769 -0.0161588 -2.293e-05
27 0.00247504 -0.0161619 4.07103e-16
28 0.00247769 -0.0161588 2.293e-05
29 0.00248419 -0.0161494 4.22727e-05
30 0.00249035 -0.016135 5.39397e-05
31 0.00248132 -0.0145021 6.74337e-05
32 0.00244124 -0.0128479 9.34582e-05
33 0.00235226 -0.0112022 0.000133448
34 0.00221694 -0.00960823 0.000178228
35 0.00204128 -0.00809477 0.000222623
36 0.00182943 -0.00668241 0.000264572
37 0.001584 -0.00538888 0.000303071
38 0.00130721 -0.00422695 0.00033582
39 0.000989871 -0.00321576 0.000365123
40 0.000532542 -0.00241427 0.000188206
41 0.000521337 -0.00246594 0.000108679
42 0.000517555 -0.00249556 5.03513e-05
43 0.000516748 -0.0025053 1.20741e-16
44 0.000517555 -0.00249556 -5.03513e-05
45 0.000521337 -0.00246594 -0.000108679
46 0.000532542 -0.00241427 -0.000188206
47 -0.0039765 -0.0145294 2.03593e-05
48 -0.00387509 -0.0128291 9.75638e-05
49 -0.00376593 -0.0111776 0.000142373
50 -0.00362983 -0.00959517 0.000184235
51 -0.0034569 -0.00808874 0.000223769
52 -0.00324407 -0.00668087 0.000260243
53 -0.00299015 -0.00539607 0.000290976
54 -0.00269759 -0.00426182 0.000312447
55 -0.0023762 -0.00330512 0.000320921
56 -0.00409421 -0.0165004 5.1751e-05
57 -0.0040751 -0.0165059 1.02029e-05
58 -0.0040699 -0.0165039 -3.45332e-07
59 -0.00406758 -0.0165062 4.22482e-16
60 -0.0040699 -0.0165039 3.45332e-07
61 -0.0040751 -0.0165059 -1.02029e-05
62 -0.00409421 -0.0165004 -5.1751e-05
63 -0.0023762 -0.00330512 -0.000320921
64 -0.00269759 -0.00426182 -0.000312447
65 -0.00299015 -0.00539607 -0.000290976
66 -0.00324407 -0.00668087 -0.000260243
67 -0.0034569 -0.00808874 -0.000223769
68 -0.00362983 -0.00959517 -0.000184235
69 -0.00376593 -0.0111776 -0.000142373
70 -0.00387509 -0.0128291 -9.75638e-05
71 -0.0039765 -0.0145294 -2.03593e-05
72 -0.00205167 -0.00266655 0.000221302
73 -0.00206471 -0.00274198 0.000137612
74 -0.00207426 -0.00278126 6.55291e-05
75 -0.00207765 -0.00279337 1.58386e-16
76 -0.00207426 -0.00278126 -6.55291e-05
77 -0.00206471 -0.00274198 -0.000137612
78 -0.00205167 -0.00266655 -0.000221302
79 -0.00134543 -0.00246173 -0.000159859
80 -0.000627065 -0.00241043 -8.76473e-07
81 6.64389e-05 -0.00237282 0.000163935
82 6.64389e-05 -0.00237282 -0.000163935
83 -0.000627065 -0.00241043 8.76473e-07
84 -0.00134543 -0.00246173 0.000159859
85 -0.00224326 -0.0163539 7.35063e-05
86 -0.000667222 -0.0161834 6.28349e-05
87 0.000893993 -0.0161317 5.34083e-05
88 0.000893993 -0.0161317 -5.34083e-05
